game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
Astral Chain,NS,1.08,Nintendo,Action,30 Aug 19,https://www.vgchartz.com/games/boxart/full_7480644AmericaFrontccc.jpg,https://www.vgchartz.com/game/223546/astral-chain/?region=All
Marvel Ultimate Alliance 3: The Black Order,NS,1.08,Nintendo,Action,19 Jul 19,https://www.vgchartz.com/games/boxart/full_3824266AmericaFrontccc.jpg,https://www.vgchartz.com/game/223123/marvel-ultimate-alliance-3-the-black-order/?region=All
Enter the Gungeon,NS,1.00,Devolver Digital,Action,14 Dec 17,https://www.vgchartz.com/games/boxart/full_8128714AmericaFrontccc.png,https://www.vgchartz.com/game/221043/enter-the-gungeon/?region=All
Monster Hunter Generations Ultimate,NS,0.72,Capcom,Action,28 Aug 18,https://www.vgchartz.com/games/boxart/full_5131597AmericaFrontccc.png,https://www.vgchartz.com/game/199845/monster-hunter-generations-ultimate/?region=All
Diablo III: Eternal Collection,NS,0.67,Blizzard Entertainment,Action,02 Nov 18,https://www.vgchartz.com/games/boxart/full_3447163AmericaFrontccc.jpg,https://www.vgchartz.com/game/222641/diablo-iii-eternal-collection/?region=All
LEGO Marvel Super Heroes 2,NS,0.67,Warner Bros. Interactive Entertainment,Action,14 Nov 17,https://www.vgchartz.com/games/boxart/full_7408012AmericaFrontccc.jpg,https://www.vgchartz.com/game/176547/lego-marvel-super-heroes-2/?region=All
LEGO The Incredibles,NS,0.63,Warner Bros. Interactive Entertainment,Action,15 Jun 18,https://www.vgchartz.com/games/boxart/full_7778097AmericaFrontccc.jpg,https://www.vgchartz.com/game/221760/lego-the-incredibles/?region=All
Bayonetta 2,NS,0.57,Nintendo,Action,16 Feb 18,https://www.vgchartz.com/games/boxart/full_5304839AmericaFrontccc.jpg,https://www.vgchartz.com/game/220237/bayonetta-2/?region=All
Dragon Ball: Xenoverse 2,NS,0.55,Namco Bandai Games,Action,22 Sep 17,https://www.vgchartz.com/games/boxart/full_3896928AmericaFrontccc.jpg,https://www.vgchartz.com/game/161534/dragon-ball-xenoverse-2/?region=All
Fire Emblem Warriors,NS,0.51,Nintendo,Action,20 Oct 17,https://www.vgchartz.com/games/boxart/full_8428240AmericaFrontccc.jpg,https://www.vgchartz.com/game/155797/fire-emblem-warriors/?region=All
Hyrule Warriors: Definitive Edition,NS,0.46,Nintendo,Action,18 May 18,https://www.vgchartz.com/games/boxart/full_8069084AmericaFrontccc.jpg,https://www.vgchartz.com/game/220630/hyrule-warriors-definitive-edition/?region=All
The Lego Ninjago Movie Videogame,NS,0.40,Warner Bros. Interactive Entertainment,Action,22 Sep 17,https://www.vgchartz.com/games/boxart/full_3938123AmericaFrontccc.jpg,https://www.vgchartz.com/game/186213/the-lego-ninjago-movie-videogame/?region=All
Nintendo Labo: Toy-Con 02 Robot Kit,NS,0.36,Nintendo,Action,20 Apr 18,https://www.vgchartz.com/games/boxart/full_4729465AmericaFrontccc.jpg,https://www.vgchartz.com/game/220878/nintendo-labo-toy-con-02-robot-kit/?region=All
LEGO Harry Potter Collection,NS,0.33,Warner Bros. Interactive Entertainment,Action,30 Oct 18,https://www.vgchartz.com/games/boxart/full_9738604AmericaFrontccc.jpg,https://www.vgchartz.com/game/222721/lego-harry-potter-collection/?region=All
Warriors  Orochi 4,NS,0.31,Koei Tecmo,Action,16 Oct 18,https://www.vgchartz.com/games/boxart/full_9965630AmericaFrontccc.jpg,https://www.vgchartz.com/game/221968/warriors-orochi-4/?region=All
The Binding of Isaac: Afterbirth+,NS,0.28,Nicalis,Action,17 Mar 17,https://www.vgchartz.com/games/boxart/full_3202869AmericaFrontccc.jpg,https://www.vgchartz.com/game/153121/the-binding-of-isaac-afterbirth/?region=All
Resident Evil: Revelations Collection,NS,0.27,Capcom,Action,28 Nov 17,https://www.vgchartz.com/games/boxart/full_9095196AmericaFrontccc.jpg,https://www.vgchartz.com/game/195581/resident-evil-revelations-collection/?region=All
Hello Neighbor,NS,0.24,Gearbox Software,Action,27 Jul 18,https://www.vgchartz.com/games/boxart/full_5676418AmericaFrontccc.jpg,https://www.vgchartz.com/game/221089/hello-neighbor/?region=All
Attack on Titan 2,NS,0.23,Koei Tecmo,Action,20 Mar 18,https://www.vgchartz.com/games/boxart/full_5868631AmericaFrontccc.jpg,https://www.vgchartz.com/game/212038/attack-on-titan-2/?region=All
