game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
Grand Theft Auto V,XOne,8.72,Rockstar Games,Action,18 Nov 14,https://www.vgchartz.com/games/boxart/full_8047513AmericaFrontccc.jpg,https://www.vgchartz.com/game/73074/grand-theft-auto-v/?region=All
Assassin's Creed: Unity,XOne,3.58,Ubisoft,Action,11 Nov 14,https://www.vgchartz.com/games/boxart/full_8320518AmericaFrontccc.jpg,https://www.vgchartz.com/game/80236/assassins-creed-unity/?region=All
Dead Rising 3,XOne,2.70,Microsoft Studios,Action,22 Nov 13,https://www.vgchartz.com/games/boxart/full_626152AmericaFrontccc.jpg,https://www.vgchartz.com/game/73076/dead-rising-3/?region=All
Assassin's Creed Origins,XOne,2.47,Ubisoft,Action,27 Oct 17,https://www.vgchartz.com/games/boxart/full_9921323AmericaFrontccc.jpg,https://www.vgchartz.com/game/181688/assassins-creed-origins/?region=All
Assassin's Creed IV: Black Flag,XOne,2.32,Ubisoft,Action,22 Nov 13,https://www.vgchartz.com/games/boxart/full_8164194AmericaFrontccc.jpg,https://www.vgchartz.com/game/71598/assassins-creed-iv-black-flag/?region=All
Far Cry 5,XOne,1.78,Ubisoft,Action,27 Mar 18,https://www.vgchartz.com/games/boxart/full_4313557AmericaFrontccc.jpg,https://www.vgchartz.com/game/177922/far-cry-5/?region=All
Batman: Arkham Knight,XOne,1.58,Warner Bros. Interactive Entertainment,Action,23 Jun 15,https://www.vgchartz.com/games/boxart/full_7538612AmericaFrontccc.jpg,https://www.vgchartz.com/game/79436/batman-arkham-knight/?region=All
Dying Light,XOne,1.47,Warner Bros. Interactive Entertainment,Action,06 Feb 16,https://www.vgchartz.com/games/boxart/full_1130191AmericaFrontccc.jpg,https://www.vgchartz.com/game/72233/dying-light/?region=All
Ryse: Son of Rome,XOne,1.47,Microsoft Studios,Action,22 Nov 13,https://www.vgchartz.com/games/boxart/full_1821842AmericaFrontccc.jpg,https://www.vgchartz.com/game/73070/ryse-son-of-rome/?region=All
Assassin's Creed Syndicate,XOne,1.44,Ubisoft,Action,23 Oct 15,https://www.vgchartz.com/games/boxart/full_601061AmericaFrontccc.jpg,https://www.vgchartz.com/game/85504/assassins-creed-syndicate/?region=All
Middle-Earth: Shadow of Mordor,XOne,1.42,Warner Bros. Interactive Entertainment,Action,30 Sep 14,https://www.vgchartz.com/games/boxart/full_388041AmericaFrontccc.jpg,https://www.vgchartz.com/game/77127/middle-earth-shadow-of-mordor/?region=All
Watch Dogs 2,XOne,1.35,Ubisoft,Action,15 Nov 16,https://www.vgchartz.com/games/boxart/full_9236363AmericaFrontccc.png,https://www.vgchartz.com/game/86723/watch-dogs-2/?region=All
Sunset Overdrive,XOne,1.16,Microsoft Studios,Action,28 Oct 14,https://www.vgchartz.com/games/boxart/full_7798502AmericaFrontccc.png,https://www.vgchartz.com/game/73069/sunset-overdrive/?region=All
Middle-Earth: Shadow of War,XOne,1.15,Warner Bros. Interactive Entertainment,Action,10 Oct 17,https://www.vgchartz.com/games/boxart/full_7329069AmericaFrontccc.png,https://www.vgchartz.com/game/158746/middle-earth-shadow-of-war/?region=All
Lego Marvel Super Heroes,XOne,1.15,Warner Bros. Interactive Entertainment,Action,22 Nov 13,https://www.vgchartz.com/games/boxart/full_767000AmericaFrontccc.jpeg,https://www.vgchartz.com/game/75582/lego-marvel-super-heroes/?region=All
Dragon Ball: Xenoverse 2,XOne,1.07,Namco Bandai Games,Action,25 Oct 16,https://www.vgchartz.com/games/boxart/full_7521046PALFrontccc.jpg,https://www.vgchartz.com/game/122285/dragon-ball-xenoverse-2/?region=All
Resident Evil VII: Biohazard,XOne,1.04,Capcom,Action,24 Jan 17,https://www.vgchartz.com/games/boxart/full_5960719AmericaFrontccc.jpg,https://www.vgchartz.com/game/120128/resident-evil-vii-biohazard/?region=All
Monster Hunter: World,XOne,0.93,Capcom,Action,26 Jan 18,https://www.vgchartz.com/games/boxart/full_2972651AmericaFrontccc.jpg,https://www.vgchartz.com/game/182720/monster-hunter-world/?region=All
For Honor,XOne,0.87,Ubisoft,Action,14 Feb 17,https://www.vgchartz.com/games/boxart/full_5736681AmericaFrontccc.jpg,https://www.vgchartz.com/game/85750/for-honor/?region=All
Dishonored 2,XOne,0.86,Bethesda Softworks,Action,10 Nov 16,https://www.vgchartz.com/games/boxart/full_9265303AmericaFrontccc.jpg,https://www.vgchartz.com/game/85662/dishonored-2/?region=All
Metal Gear Solid V: The Phantom Pain,XOne,0.83,Konami Digital Entertainment,Action,01 Sep 15,https://www.vgchartz.com/games/boxart/full_7873178AmericaFrontccc.jpg,https://www.vgchartz.com/game/73075/metal-gear-solid-v-the-phantom-pain/?region=All
LEGO Jurassic World,XOne,0.78,Warner Bros. Interactive Entertainment,Action,12 Jun 15,https://www.vgchartz.com/games/boxart/full_3585957AmericaFrontccc.jpg,https://www.vgchartz.com/game/85091/lego-jurassic-world/?region=All
Fortnite,XOne,0.77,Gearbox Software,Action,21 Jul 17,https://www.vgchartz.com/games/boxart/full_6940022AmericaFrontccc.jpg,https://www.vgchartz.com/game/181512/fortnite/?region=All
Quantum Break,XOne,0.76,Microsoft Studios,Action,05 Apr 16,https://www.vgchartz.com/games/boxart/full_9605877AmericaFrontccc.jpg,https://www.vgchartz.com/game/72220/quantum-break/?region=All
LEGO Dimensions,XOne,0.72,Warner Bros. Interactive Entertainment,Action,27 Sep 15,https://www.vgchartz.com/games/boxart/full_7716158AmericaFrontccc.jpg,https://www.vgchartz.com/game/85352/lego-dimensions/?region=All
LEGO Marvel Super Heroes 2,XOne,0.57,Warner Bros. Interactive Entertainment,Action,14 Nov 17,https://www.vgchartz.com/games/boxart/full_1427234AmericaFrontccc.jpg,https://www.vgchartz.com/game/176550/lego-marvel-super-heroes-2/?region=All
Mad Max (2013),XOne,0.50,Warner Bros. Interactive Entertainment,Action,01 Sep 15,https://www.vgchartz.com/games/boxart/full_8760895AmericaFrontccc.jpg,https://www.vgchartz.com/game/73317/mad-max-2013/?region=All
LEGO Marvel's Avengers,XOne,0.48,Warner Bros. Interactive Entertainment,Action,26 Jan 16,https://www.vgchartz.com/games/boxart/full_4033992AmericaFrontccc.jpg,https://www.vgchartz.com/game/85100/lego-marvels-avengers/?region=All
Thief,XOne,0.48,Square Enix,Action,25 Feb 14,https://www.vgchartz.com/games/boxart/full_3631996AmericaFrontccc.jpg,https://www.vgchartz.com/game/71737/thief/?region=All
